Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,AUS,12.99131903,12.40027354,13.93987164,13.00249948,14.93472831,13.21732372,12.92919336,12.88040675,12.29471663,11.95193542,12.97386774,12.65813365,12.8225879,14.15160713,13.14872578,14.27808539,13.5197155,14.01940171,13.62479627,14.30848238,16.43543144,14.9084408,13.53764506,13.59135533,13.57684485,15.25628586,15.008838,15.49274084,15.98690914,15.14838204,15.14652536,16.06140736,16.69136445,17.57279145,18.00531178,17.91688487,18.93919435,19.17481105,19.59557692,18.34389276,19.43465944,22.22572071,20.7745942,19.0950859,17.2032858,18.26510157,19.8939213,20.20360889,20.16167323,23.00481294,19.81000775,21.43641705,21.48082841,19.95616761,21.039455,19.98484551,19.25105708,21.19320015,21.8046576,24.13105483
Austria,AUT,,,,,,,,,,,27.39175701,27.0353547,26.93066646,26.91936689,29.1143699,28.09463586,28.75252642,27.95395679,29.11509299,30.88077524,31.69307175,33.00066162,31.74149643,30.47819882,32.75101762,34.92132141,31.99771471,31.40620488,33.0709262,35.01520274,35.69741465,34.59048808,33.15526766,31.46389801,32.15853389,33.53314035,34.24927611,37.02808274,38.35102119,39.35703789,43.34627395,44.61755552,45.3193862,44.57041472,46.86721497,48.6197522,50.84166886,52.56086942,53.24886062,45.20741656,51.26216033,53.94867085,53.9736762,53.4412933,53.38657905,53.08906056,52.45109491,54.03767102,55.755855,55.72161256
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.86084584,45.65868263,86.20360573,57.46242038,24.72111022,32.48664355,24.92863939,29.03460723,22.69952915,27.97012,40.17083148,41.49860787,42.76783505,42.00657665,48.78900846,62.94110601,66.50414484,68.12891169,65.77613785,51.63574568,54.30472154,56.42698053,52.97468019,48.41583308,43.27355666,37.79477749,46.42764939,48.54786473,54.09229386,49.17961337
Burundi,BDI,12.49999962,12.93103499,13.11475373,7.518797057,14.0939593,10.3479635,10.77615982,10.80058971,10.29569557,9.658715376,10.68877683,8.435749897,11.73444345,11.0161732,9.753397451,8.275645724,13.72648388,17.59561023,11.70769278,14.16264464,8.809380565,9.143350509,10.211975,9.045580083,11.50400691,11.02661916,11.7232284,9.744902936,12.59077005,9.74574399,7.872992294,9.917377701,8.749180522,9.381960846,10.27176505,12.92634285,5.820321019,9.835472579,7.999750125,7.575757576,6.318970594,5.179202165,4.685804181,6.381414025,6.952748287,6.2,7.3,6.800000136,10.50000026,6.600000274,9.700001639,8.800000284,9.700000891,9.1,7.603418782,5.732968591,6.65258895,7.4447026,9.401038141,9.131191569
Belgium,BEL,,,,,,,,,,,44.95627666,43.7674644,44.13727919,48.03194342,52.89335813,45.91603671,48.55438198,47.50725056,45.76164447,49.92243826,50.11728016,54.06352207,58.10331143,60.39562649,64.41235206,62.45432725,57.28304965,55.86776301,59.40808342,63.56674884,61.61369079,60.22965503,58.80893059,56.10774129,58.42495903,60.11437172,61.19239096,64.78658108,64.17434502,64.56305952,72.54739516,71.61195892,70.8312977,69.03650851,70.90627745,74.28282892,76.80499706,78.3018047,80.88061998,68.83400371,75.85006448,80.69736291,80.40449051,79.3243484,79.80100907,77.80528215,79.40269776,82.38680625,82.62752768,81.72912231
Benin,BEN,6.123913813,4.583489549,3.517823197,3.821360213,5.137338272,7.267563064,6.84654487,7.66582205,9.334642587,11.77321922,15.17657983,17.78579859,14.38440221,15.66197565,14.31675614,14.52824593,12.99124631,16.17890261,16.52508821,17.51637947,15.81651288,15.93050046,17.77103583,13.76428919,19.57937532,23.65261835,16.67592095,15.26752812,13.80373921,13.49542898,19.18130301,21.00248606,23.23914805,22.46438304,28.32701862,27.3689425,26.49881155,27.17613459,27.09293955,23.00953079,20.60530255,19.86857881,19.72661078,18.64429725,18.51354757,18.48363998,18.05792571,22.04285312,22.14072027,19.92796684,23.07204807,20.8496515,23.89673687,27.57056532,31.43084112,24.72045121,27.60678807,27.20559478,27.29608879,29.63052719
Burkina Faso,BFA,4.861965447,5.428886039,5.531983697,5.579492081,2.798836183,4.652596543,5.05173085,4.928506232,6.204738147,5.817213741,5.455240233,5.511467517,6.399727195,6.31179758,8.320763173,7.348254348,8.205252445,7.960266865,7.468419216,8.246134387,8.950521024,9.276410607,8.195716128,7.884149398,10.96091363,9.921464694,8.990563134,11.3588168,10.99870019,8.748862592,10.96669141,10.44754844,8.846480369,8.951543281,14.20162115,14.14055654,10.56360521,10.812531,12.80810302,8.354005506,8.844717485,9.044082767,8.865365632,9.220431658,10.8815873,9.841847478,10.9568635,10.34854222,10.14932705,13.78897086,20.51584886,26.19550052,26.59808542,27.07698545,26.93200415,26.10764554,25.93779648,26.32005999,27.84875588,27.73032252
Bangladesh,BGD,9.996685298,10.78235341,10.74675128,9.983485122,10.02841242,9.662716409,10.28428083,9.306142123,8.33080893,8.145992413,8.313112893,6.291487317,5.674730403,6.539409334,3.701075465,2.895078894,4.746081768,7.040751965,5.557663161,6.109219481,5.494283791,5.130863153,5.075299866,5.603849031,3.396255135,5.3844786,5.182931963,4.990049639,5.428300965,5.540143718,5.908316487,6.662611969,7.58667691,9.017269036,9.001543646,10.86463421,9.70650765,10.52037056,11.75733123,11.75864239,12.34420123,13.38655921,12.40996893,11.4311487,11.14650895,14.3928419,16.35346357,16.99533485,17.65885848,16.94013291,16.02411269,19.92207496,20.16158886,19.53787411,18.98966,17.33667379,16.64971688,15.03610611,14.80095818,15.32324744
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,35.70780505,35.63843555,34.28290766,37.14824281,40.13116141,42.7951269,40.03363952,40.78529918,45.5656655,46.42059466,33.11919208,43.47826087,47.11155378,38.20675811,45.04756469,32.33950887,48.49698831,49.57618754,41.94134883,42.74979463,36.21885804,34.88131742,33.64730372,34.416944,40.95663729,42.52956666,46.97787863,52.38770566,52.51854154,42.23859933,50.42479702,59.12547344,60.67447682,64.83588245,64.82670242,63.99073245,64.070989,67.30355987,65.86028937,63.57392913
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,124.1084535,131.1296802,118.9816239,96.6818499,96.48621042,101.7697254,98.71046441,102.3678926,95.33797859,98.64389757,115.5558287,85.00316299,84.38199172,83.87459725,81.19327022,81.9905466,87.9135243,79.07678218,64.60367296,78.86724559,79.18066703,73.61076132,72.5085663,72.063072,78.60514596,83.89404821,84.63894426,79.67952923,82.57734838,68.46559387,69.53731774,99.41866913,102.1455248,104.8048033,96.05075125,82.90638896,74.16594852,75.88692791,79.56720683,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,82.65077139,82.66458433,68.87172584,70.38118775,67.38170347,65.78597225,66.56855956,63.58826123,64.79079867,63.81799798,61.32277308,,53.83148269,54.16077069,50.9510922,50.24702477,51.96668823,51.02147898,49.54913969,48.03768357,36.88040478,34.65716017,36.45688956,38.04756286,34.07258864,36.17545456,35.81023417,38.2152311,38.75988695,38.30927734,40.09195411,39.49363481,34.19067999,34.95328732,37.43526853,38.12695303,40.19521524,38.01874777,35.10036333,35.27440863,34.5017448,36.08032516,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44828942,20.41173902,23.61770625,27.8336349,27.30319723,27.64394678,28.69084267,28.39251174,24.34785182,30.28986625,27.81109309,31.63112051,35.02181135,27.10155319,26.84807164,25.00937959,29.69554093,32.03596914,32.3505389,33.74304495,33.98014015,34.87107111,35.64628152,40.83058781,42.12168996,40.15259869
